neighborhood_municipality,infections,reinfections,deaths,hospitalizations,pcr_tests,positive_pcr_tests,update_date
Verona,3506,347,6,56,5313,653,2023-04-03
Versailles,2001,186,13,42,3014,467,2023-04-03
Wall,585,89,4,11,888,140,2023-04-03
West Deer,15596,1945,46,187,20433,2496,2023-04-03
West Elizabeth,509,64,1,5,636,112,2023-04-03
West End (Pittsburgh),277,21,0,4,460,76,2023-04-03
West Homestead,2546,323,4,34,4074,570,2023-04-03
West Mifflin,28545,4043,40,329,42347,6035,2023-04-03
West Oakland (Pittsburgh),5156,473,1,15,12447,586,2023-04-03
West View,7784,928,7,84,11486,1590,2023-04-03
Westwood (Pittsburgh),4137,542,5,40,5842,963,2023-04-03
Whitaker,1819,250,2,23,2490,391,2023-04-03
White Oak,10767,1524,38,191,15907,2309,2023-04-03
Whitehall,24704,2867,84,254,36960,4154,2023-04-03
Wilkins,8379,936,18,106,13401,1662,2023-04-03
Wilkinsburg,23155,3287,59,344,39902,4459,2023-04-03
Wilmerding,2657,432,5,38,3792,492,2023-04-03
Windgap (Pittsburgh),1891,211,3,14,2869,339,2023-04-03
